"pathway","p_value.SPARKX_ACAT","q_value.SPARKX_ACAT","p_value.SPARKX_fgsea","q_value.SPARKX_fgsea","p_value.STpathway_dCov","q_value.STpathway_dCov","p_value.spatialSVP_matched_none","q_value.spatialSVP_matched_none","p_value.spatialSVP_permutation_none","q_value.spatialSVP_permutation_none","p_value.spatialSVP_matched_pcs","q_value.spatialSVP_matched_pcs","p_value.spatialSVP_permutation_pcs","q_value.spatialSVP_permutation_pcs"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",1.35727438854896e-139,2.36190348704752e-139,0.0999000999000999,0.142714428428714,0.001,0.001,0.883,1,0.001,0.001,0.001,0.00357142857142857,0.001,0.00238095238095238
"HALLMARK_KRAS_SIGNALING_DN",2.07339039031821e-114,2.59173798789776e-114,0.637362637362637,0.708180708180708,0.001,0.001,0.324,0.771428571428571,0.001,0.001,0.015,0.0394736842105263,0.003,0.00625
"HALLMARK_KRAS_SIGNALING_UP",1.02550244853223e-178,3.41834149510744e-178,0.00919170650243912,0.0191493885467482,0.001,0.001,0.992,1,0.001,0.001,0.037,0.0804347826086956,0.002,0.00434782608695652
"HALLMARK_MITOTIC_SPINDLE",9.02575378341971e-119,1.15714792095125e-118,0.532467532467532,0.605076741440378,0.001,0.001,0.695,1,0.001,0.001,0.156,0.25,0.011,0.0171875
"HALLMARK_MTORC1_SIGNALING",7.36547276772773e-144,1.47309455354555e-143,0.00238639132654291,0.00662886479595253,0.001,0.001,0.004,0.0285714285714286,0.001,0.001,0.001,0.00357142857142857,0.001,0.00238095238095238
"HALLMARK_MYC_TARGETS_V1",5.06212380527055e-201,2.81229100292809e-200,5.32145436497736e-07,3.32590897811085e-06,0.001,0.001,0.116,0.386666666666667,0.001,0.001,0.001,0.00357142857142857,0.001,0.00238095238095238
"HALLMARK_MYC_TARGETS_V2",3.53742668646717e-71,3.68481946506997e-71,0.962037962037962,1,0.001,0.001,0.032,0.133333333333333,0.001,0.001,0.001,0.00357142857142857,0.001,0.00238095238095238
"HALLMARK_MYOGENESIS",1.20435686341348e-265,1.3452173152747e-264,0.000581590306914199,0.00193863435638066,0.001,0.001,0.098,0.35,0.001,0.001,0.001,0.00357142857142857,0.001,0.00238095238095238
"HALLMARK_NOTCH_SIGNALING",2.31565617536496e-106,2.82397094556702e-106,0.201798201798202,0.252247752247752,0.001,0.001,0.503,0.967307692307692,0.001,0.001,0.867,0.922340425531915,0.768,0.8
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",9.05927352425518e-138,1.41551148816487e-137,2.39348374952859e-07,1.70963124966328e-06,0.001,0.001,0.01,0.0611111111111111,0.001,0.001,0.09,0.166666666666667,0.001,0.00238095238095238
"HALLMARK_P53_PATHWAY",6.76886407052624e-175,1.99084237368419e-174,1.98875638027034e-10,4.97189095067585e-09,0.001,0.001,0.001,0.01,0.001,0.001,0.16,0.25,0.004,0.00769230769230769
"HALLMARK_PANCREAS_BETA_CELLS",9.07308317637199e-55,9.25824813915509e-55,0.2997002997003,0.365488170366219,0.001,0.001,0.422,0.914583333333333,0.001,0.001,0.036,0.0804347826086956,0.019,0.0287878787878788
"HALLMARK_PEROXISOME",2.27012768586875e-201,1.41882980366797e-200,0.0649350649350649,0.0983864620228257,0.001,0.001,0.203,0.547368421052632,0.001,0.001,0.851,0.922340425531915,0.616,0.65531914893617
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",1.92413462735522e-96,2.18651662199457e-96,0.187812187812188,0.240784856169472,0.001,0.001,0.471,0.942,0.001,0.001,0.313,0.411842105263158,0.067,0.0881578947368421
"HALLMARK_PROTEIN_SECRETION",2.19223771475939e-129,3.13176816394198e-129,0.12987012987013,0.170881749829118,0.001,0.001,0.363,0.825,0.001,0.001,0.904,0.941666666666667,0.61,0.65531914893617
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",3.3102206187388e-266,1.3452173152747e-264,0.000966438317610918,0.00284246564003211,0.001,0.001,0.842,1,0.001,0.001,0.211,0.301428571428571,0.027,0.0375
"HALLMARK_SPERMATOGENESIS",6.67941510427498e-35,6.67941510427498e-35,1,1,0.001,0.001,0.155,0.484375,0.001,0.001,0.057,0.114,0.024,0.0352941176470588
"HALLMARK_TGF_BETA_SIGNALING",1.52415597414887e-90,1.69350663794319e-90,0.035964035964036,0.0666000666000666,0.001,0.001,0.953,1,0.001,0.001,0.249,0.345833333333333,0.051,0.0689189189189189
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",6.8186588567852e-193,3.09939038944782e-192,7.60289802259483e-08,6.33574835216236e-07,0.001,0.001,0.439,0.914583333333333,0.001,0.001,0.001,0.00357142857142857,0.001,0.00238095238095238
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",4.17647726672241e-138,6.96079544453735e-138,0.035964035964036,0.0666000666000666,0.001,0.001,0.178,0.523529411764706,0.001,0.001,0.005,0.0138888888888889,0.001,0.00238095238095238
"HALLMARK_UV_RESPONSE_DN",7.49997578319073e-106,8.92854259903659e-106,0.0214780651523614,0.0429561303047229,0.001,0.001,1,1,0.001,0.001,0.123,0.212068965517241,0.006,0.0107142857142857
"HALLMARK_UV_RESPONSE_UP",9.64894095249396e-266,1.3452173152747e-264,0.00717589672502863,0.0163088561932469,0.001,0.001,0.832,1,0.001,0.001,0.531,0.617441860465116,0.098,0.1225
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",3.29481969485946e-90,3.58132575528202e-90,0.365634365634366,0.435279006707578,0.001,0.001,0.644,1,0.001,0.001,0.503,0.613414634146341,0.396,0.44
"HALLMARK_XENOBIOTIC_METABOLISM",5.9093661671066e-142,1.13641657059742e-141,0.00353331985160324,0.009298210135798,0.001,0.001,0.793,1,0.001,0.001,0.039,0.08125,0.002,0.00434782608695652
