"pathway","stat","stat_matched_med","stat_matched_mad","z_matched","n_matched","p_matched","p_adj_BH","n_spots"
"HALLMARK_MYC_TARGETS_V1",0.455082742801495,0.484265883586534,0.0225642906803598,-1.29333295685828,1999,0.9245,1,3636
"HALLMARK_MYC_TARGETS_V2",0.148665913116102,0.13298227309927,0.0189670747488628,0.826887657927942,1999,0.2185,0.993181818181818,3636
"HALLMARK_MYOGENESIS",0.287812130836975,0.342468329000806,0.021520508919935,-2.53972609881925,1999,0.9995,1,3636
"HALLMARK_NOTCH_SIGNALING",0.0751908887498156,0.0869028013223823,0.0185167964521689,-0.632502096289711,1999,0.7465,1,3636
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.631208384233466,0.514899148278441,0.0210553302542112,5.52398060494739,1999,5e-04,0.0125,3636
"HALLMARK_P53_PATHWAY",0.283361171964516,0.321402839132501,0.0188799149150056,-2.01492789237885,1999,0.982,1,3636
"HALLMARK_PANCREAS_BETA_CELLS",0.190937938979871,0.128745024124106,0.0277733172749389,2.23930451807731,1999,0.0405,0.3375,3636
"HALLMARK_PEROXISOME",0.232410908952756,0.260602505018928,0.0242062152717557,-1.16464287166225,1999,0.8865,1,3636
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.361399575685329,0.305404030458049,0.0270972592779751,2.06646527063324,1999,0.037,0.3375,3636
"HALLMARK_PROTEIN_SECRETION",0.31120988228887,0.327745343489771,0.0260942486266764,-0.633682212408943,1999,0.7465,1,3636
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.252043614057027,0.255610859403245,0.0343997886079793,-0.103699629868978,1999,0.5415,1,3636
"HALLMARK_SPERMATOGENESIS",0.208399925639071,0.179332560114256,0.0201321927423155,1.44382511616425,1999,0.0985,0.615625,3636
"HALLMARK_TGF_BETA_SIGNALING",0.113308804102374,0.174205834108125,0.0230718737983337,-2.63944881711991,1999,0.998,1,3636
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.200382155446316,0.24609568318152,0.0169676418608077,-2.69415915954674,1999,0.995,1,3636
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.302034950749208,0.307632788367636,0.0237357893479985,-0.235839539033492,1999,0.595,1,3636
"HALLMARK_UV_RESPONSE_DN",0.272332337367663,0.308094849338842,0.0204312719668182,-1.75038108392178,1999,0.9625,1,3636
"HALLMARK_UV_RESPONSE_UP",0.330522083667691,0.356281580630129,0.0234328250382781,-1.09929114054147,1999,0.883,1,3636
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.0885788873116565,0.100196324992683,0.0189018090657998,-0.614620412288852,1999,0.729,1,3636
"HALLMARK_XENOBIOTIC_METABOLISM",0.287722156282567,0.307422257333572,0.0204643576581547,-0.96265425869129,1999,0.847,1,3636
